Identité;*Analyse;*Code MSSS;Libellé répertoire MSSS;*Gr. Risque;*SYNONYME(S);*Renseignement important;*SECTEUR;TEMPS RÉPONSE (JOURS OUVRABLES*);*PRÉLÈVEMENT SPÉCIMEN;TEST;*Titre d'analyse;Plan d'analyses;Code du Groupe d'analyses;*NOM DU GROUPE D'ANALYSES;COMMENTAIRE;Catégorie d'envoi TMD;
90;Hantavirus: détection (anticorps);83020;Hantavirus  détection (anticorps);;Virus Andes, Virus Sin nombre, virus Seoul, syndrome cardiopulmonaire dû au hantavirus (SPH), Fièvre hémorragique avec syndrome rénal (HFRS);Antécédents d'une exposition à des rongeurs ou à leurs excréments.;Sérologie;Délai du LNM + 6 jours ouvrables;Sérum (0,5 mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA IgM et IgG;Hantavirus - Détection d'anticorps;Humain;HANT;Hantavirus;Envoi au LNM.;Catégorie A;
91;Héma-Québec - Anti-HBs;;Héma-Québec - Anti-HBs;;HQ;Cette analyse est réservée aux laboratoires de Héma-Québec.;Sérologie;5 jours ouvrables - dons allogéniques.;Sérum (0,5 ml) ou plasma (0,5mL). Entre 2 et 8°C si envoyé au LSPQ dans les 7 jours. Sinon, conservés et transportés à -20°C.;EIA;Hépatite B - Anticorps anti-HBs;Humain;HBS;Anti-HBs (Héma-Québec);N/A;Catégorie B;
92;Héma-Québec - HTLV I/II;;Héma-Québec - HTLV I/II;;HQ;Cette analyse est réservée aux laboratoires de Héma-Québec.;Sérologie;"2 jours ouvrables - dons autologues
5 jours ouvrables - dons allogéniques.";Sérum (0,5 ml) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA, immunoblot;HTLV I/II - Confirmation;Humain;HT;HTLV  I/II (Héma-Québec);N/A;Catégorie B;
93;Héma-Québec - Identification bactérienne;;Héma-Québec - Identification bactérienne;;HQ;Cette analyse est réservée aux laboratoires de Héma-Québec.;Bactériologie;15 à 30 jours ouvrables;Bouillon de culture;Isolement sur milieux de culture, technologie MALDI-TOF, séquençage;Identification;Humain;HQ;2-HQ;N/A;Catégorie B;
;Héma-Québec - Produit transfusé URGENT;;Héma-Québec - Produit transfusé URGENT;;HQ, Produit, transfusé, urgent;Cette analyse est réservée aux laboratoires de Héma-Québec.;Bactériologie;15 à 30 jours ouvrables;Bouillon de culture;Isolement sur milieux de culture, technologie MALDI-TOF, séquençage;Identification;Humain;HQ;2-HQ;N/A;Catégorie B;
94;Hépatite A (VHA): génotypage (séquençage);83030;Hépatite A (VHA)  génotypage (séquençage);;hepA, hépatite A, VHA;Veuillez inscrire la valeur index de réactivité de l'IgM dans le champ "Autres données pertinentes". Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-genotypage).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Sérum (1 ml), plasma-EDTA (1 ml) ou selles (1 g) conservés congelés et expédiés sur glace sèche.;TAAN - séquençage;Hépatite A- Génotypage;Humain;VHA;Hépatite A;IgM réactif. Envoi au LNM.;Catégorie B;
96;Hépatite B (HBsAg): confirmation (antigène);83032;Hépatite B (HBsAg)  confirmation (antigène);;AgHBs, HBsAg, HepB, Antigène australien;"Veuillez noter que cette analyse comprend la confirmation de l'antigène (Ag) HBs et la détection des anticorps anti-HBc. Il n'est  donc pas nécessaire d'ajouter l'analyse "" Hépatite B (anti-HBc): confirmation (anticorps) "".
Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ ""Autres données pertinentes"".";Sérologie;10 jours ouvrables;Sérum (1 mL) ou plasma (1 mL)  entre 2 et 8°C si envoyé au LSPQ dans les 7 jours. Sinon, conservés et transportés à -20°C.;HBsAg-EIA, Anti HBc-EIA;Hépatite B - Confirmation de l'Ag HBs;Humain;HB;Hépatite B;Fait au LSPQ;Catégorie B;
95;Hépatite B (VHB): test supplémentaire (anti-HBc) (anticorps);83031;Hépatite B (VHB) test supplémentaire (anti-HBc) (anticorps);;hepB, VHB;SVP retirer cette analyse du formulaire si l'analyse " Hépatite B (HBsAg)  confirmation (antigène)" est demandée. Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;10 jours ouvrables;Sérum (0,5 ml) ou plasma (0,5mL). Entre 2 et 8°C si envoyé au LSPQ dans les 7 jours. Sinon, conservés et transportés à -20°C.;Anti HBc-EIA;Hépatite B - Anticorps anti-HBc totaux;Humain;HBC;Anti-HBc;Fait au LSPQ;Catégorie B;
98;Hépatite B (VHB): génotypage (séquençage);83033;Hépatite B (VHB)  génotypage (séquençage);;Hépatite B, hepB, VHB, HBV DNA;Veuillez inscrire la valeur de charge virale de l'ADN-VHB dans le champ "Autres données pertinentes". Cette information est requise pour l'analyse. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-b-genotypage.).;Biologie moléculaire;15 jours ouvrables;Sérum ou plasma (prélevé sur EDTA ou ACD-A) (0,5 ml - 2 ml) réfrigéré, envoyé au LSPQ sur sachets réfrigérants (ice pack) dans les 72 heures suivant la date de prélèvement. Sinon, conservé congelé et expédié sur glace sèche.;TAAN - séquençage;Hépatite B - Génotypage;Humain;VHBG;VHB-Génotypage;ADN-VHB >20 copies/ml au préalable.;Catégorie B;
97;Hépatite B (VHB): résistance aux antiviraux (séquençage);83034;Hépatite B (VHB) résistance aux antiviraux (séquençage);;HépatiteB, hepB, VHB, virus de l'hépatite B, HBV resistance;"Le formulaire suivant doit ëtre complété et acheminé avec l'échantillon: (https://www.inspq.qc.ca/sites/default/files/lspq/fo_bm_005.pdf). 
De plus, veuillez inscrire la valeur de charge virale de l'ADN-VHB dans le champ ""Autres données pertinentes"". Cette information est requise pour l'analyse.
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-b-determination-de-la-resistance).";Biologie moléculaire;15 jours ouvrables;Sérum ou plasma (prélevé sur EDTA ou ACD-A) (0,5 ml - 2 ml) réfrigéré, envoyé au LSPQ sur sachets réfrigérants (ice pack) dans les 72 heures suivant la date de prélèvement. Sinon, conservé congelé et expédié sur glace sèche.;TAAN - séquençage;Hépatite B - Détermination de la résistance aux antiviraux;Humain;VHBR;VHB-Résistance;ADN-VHB >20 copies/ml au préalable.;Catégorie B;
99;Hépatite C (anti-VHC): confirmation (anticorps);83035;Hépatite C (anti-VHC)  confirmation (anticorps);;Anti-VHC, HCV, HepC;Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;5 à 10 jours ouvrables;Sérum (0,5 mL) ou plasma (0,5 mL)  entre 2 et 8°C si envoyé au LSPQ dans les 7 jours. Sinon, conservés et transportés à -20°C.;Double EIA;Hépatite C - Confirmation sérologique;Humain;HC;Hépatite C;Fait au LSPQ;Catégorie B;
101;Hépatite C (VHC): génotypage (séquençage);83036;Hépatite C (VHC)  génotypage (séquençage);;Hépatite C, hepC, VHC, virus de l'hépatite C;Veuillez inscrire le résultat de l'ARN qualitatif ou la valeur de charge virale de l'hépatite C dans le champ "Autres données pertinentes". Cette information est requise pour l'analyse. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-c-genotypage).;Biologie moléculaire;12 jours ouvrables;Sérum ou plasma (prélevé sur EDTA ou ACD-A) (0,5 ml - 2 ml) réfrigéré, envoyé au LSPQ sur sachets réfrigérants (ice pack) dans les 72 heures suivant la date de prélèvement. Sinon, conservé congelé et expédié sur glace sèche.;TAAN - séquençage;Hépatite C - Génotypage;Humain;VHCG;VHC-Génotypage/NS5B;ARN qualitatif positif ou ARN VHC > 15 UI/ml au préalable.;Catégorie B;
100;Hépatite C (VHC): résistance aux antiviraux (séquençage);83037;Hépatite C (VHC) résistance aux antiviraux (séquençage);;NS5A. NS5b, NS3, résistance hépatite C, résistance vhc, polymorphisme;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-c-determination-de-la-resistance).;Biologie moléculaire;15 jours ouvrables;Sérum ou plasma (prélevé sur EDTA ou ACD-A) (0,5 ml - 2 ml) réfrigéré, envoyé au LSPQ sur sachets réfrigérants (ice pack) dans les 72 heures suivant la date de prélèvement. Sinon, conservé congelé et expédié sur glace sèche.;TAAN - séquençage;Hépatite C - Détermination de la résistance aux antiviraux;Humain;VHCRA;VHC-Résistance/NS5A;N/A;Catégorie B;
102;Hépatite D (VHD): charge virale (TAAN);83039;Hépatite D (VHD)  charge virale (TAAN);;Hépatite D, hepD, VHD., virus de l'hépatite D;Veuillez fournir le résultat anti-VHD dans le champ "Autres données pertinentes". Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-d-charge-virale-epreuve-quantitative).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN avec détection en temps réel;Hépatite D -  Charge virale;Humain;VHDCV;Hépatite D -  Charge virale;ARN VHD détectable au préalable. Envoi au LNM.;Catégorie B;
103;Hépatite D (VHD): détection (TAAN);83038;Hépatite D (VHD)  détection (TAAN);;Hépatite D, hepD, VHD., virus de l'hépatite D;Veuillez fournir le résultat anti-VHD dans le champ "Autres données pertinentes". Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/hepatite-d-detection-d-acides-nucleiques).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN;Hépatite D - Recherche d'acides nucléiques;Humain;VHD;Hépatite D;Anti-VHD réactif au préalable. Envoi au LNM.;Catégorie B;
104;Hépatite E (VHE): détection (anticorps);83040;Hépatite E (VHE)  détection (anticorps);;VHE,HEV,HepE IgM/IgG;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (15 jours, 21 jours si réanalyses nécessaires) + 4 jours ouvrables;Sérum (0,5 mL) ou plasma (0,5 mL)  entre 2 et 8°C si envoyé au LSPQ dans les 7 jours. Sinon, conservés et transportés à -20°C.;EIA;Hépatite E - Détection d'anticorps;Humain;HE;Hépatite E;Envoi au LNM.;Catégorie B;
;Hépatite E (VHE): génotypage (séquençage);;Hépatite E (VHE): génotypage (séquençage);;VHE,VHE génotypage;Veuillez inscrire le résultat de l'ARN qualitatif de l'hépatite E dans le champ "Autres données pertinentes". Cette information est requise pour l'analyse.;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Sérum ou plasma (1 mL) congelé et acheminé sur glace sèche.;TAAN - séquençage;Hépatite E - Génotypage;Humain;VHEG;Hépatite E - Génotypage;Envoi au LNM.;Catégorie B;
105;Herpès B: détection (TAAN);83075;Herpès B  détection (TAAN);;Herpès Simien, Cercopithecine Herpèsvirus 1;Patient symptomatique ou contact avec un singe infecté.;Sérologie;Délai du LNM + 6 jours ouvrables;Sang total, LCR, écouvillonnage urogénital, salive  volume minimum requis 0,5 mL Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;PCR;Herpès simien - Détection d'acides nucléiques;Humain;HERP;Herpès simien;Envoi au LNM.;Catégorie B;
106;Herpes virus humain 6 (HHV-6): charge virale (TAAN);83071;Herpes virus humain 6 (HHV-6)  charge virale (TAAN);;herpesvirus, herpesvirus 6, herpervirus humain 6, HHV6, roséole;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/HHV-6-detection-d-acides-nucleiques).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN - quantitatif;Herpèsvirus humain type 6 (HHV-6) - Charge virale;Humain;HHV6;Herpèsvirus humain type 6 (HHV-6);N/A;Catégorie B;
108;HTLV 1 et 2: confirmation (anticorps);83049;HTLV 1 et 2  confirmation (anticorps);;Virus T-lymphotrope humain;Veuillez fournir les valeurs de dépistage de votre laboratoire dans le champ "Autres données pertinentes".;Sérologie;4 à 6 semaines;Les sérums/plasmas peuvent être conservés entre 2 et 8°C s’ils sont acheminés au LSPQ dans les 48 heures. Sinon,ils seront conservés et transportés à ≤ -20°C. Un volume de 250 μl est requis pour l’analyse.;LIA;HTLV I/II - Confirmation;Humain;HTLV;HTLV I/II;Envoi au LNM.;Catégorie B;
109;Identification bactérienne (ARN 16S) sur spécimen clinique à culture négative;81000;Identification bactérienne (ARN 16S) sur spécimen clinique à culture négative;;16S, culture négative;"Les spécimens cliniques acceptés pour cette analyse doivent provenir de sites normalement stériles et pour lesquels la culture bactérienne est négative.
Le formulaire suivant doit être complété et acheminé avec l'échantillon: (https://www.inspq.qc.ca/sites/default/files/lspq/formulaire-justificatif-16s.pdf).";Bactériologie;5 jours ouvrables;spécimen clinique prélevé d'un site normalement stérile;ARN 16S;Identification;Humain;CN;16S Culture négative;Justification requise. Épreuve effectuée soit au LSPQ soit au LNM selon les besoins;Catégorie B;
110;Influenza A aviaire (H5, H7, H9) : détection (TAAN) sur spécimen clinique;83053;Influenza A aviaire (H5, H7, H9)   détection (TAAN) sur spécimen clinique;;grippe aviaire, H5N1, H7N9, MRSI, H5, H7;Un appel téléphonique  doit être placé au LSPQ avant l'envoi d'échantillons. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/influenza-aviaire).;Biologie moléculaire;6-24 heures;Échantillon respiratoire (0,5 ml) conservé au réfrigérateur et acheminé sur ice-packs après entente préalable avec le LSPQ.;TAAN;Influenza- Typage/sous-typage;Humain;FLU;Influenza - Sous-typage;N/A;Catégorie B;
111;Influenza A et B: détection (TAAN) sur spécimen clinique;83050;Influenza A et B  détection (TAAN) sur spécimen clinique;;Flu, influenza, grippe;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Biologie moléculaire;5 jours ouvrables;Échantillon respiratoire (2 ml), conservé au réfrigérateur et expédié sur sachets réfrigérants (ice-pack) si reçu au LSPQ moins de 48h après le prélèvement. Sinon, congelé et expédié sur glace sèche. Éviter les cycles de congélation - décongélation.;TAAN avec détection en temps réel;Influenza- Typage/sous-typage;Humain;FLU;Influenza - Sous-typage;Entente au préalable dans un but de surveillance, confirmation (éclosions en CHSLD).;Catégorie B;
112;Influenza A: caractérisation antigénique (inhibition de l'hémagglutination);83052;Influenza A  caractérisation antigénique (inhibition de l'hémagglutination);;culture virale influenza, culture virale, IH, HI;"Veuillez inscrire la lignée cellulaire utilisée pour effectuer la mise en culture dans le champ  ""Autres données pertinentes"".
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Culture virale;IH;Influenza - IH/PCR;Humain;VR;Influenza;Envoi au LNM. Sous typage de souches sélectionnées.;Catégorie B;
113;Influenza A: sous-typage (TAAN) sur spécimen clinique;83051;Influenza A  sous-typage (TAAN) sur spécimen clinique;;Flu, influenza, grippe;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Biologie moléculaire;;Échantillon respiratoire (2 ml), conservé au réfrigérateur et expédié sur sachets réfrigérants (ice-pack) si reçu au LSPQ moins de 48h après le prélèvement. Sinon, congelé et expédié sur glace sèche. Éviter les cycles de congélation - décongélation.;TAAN;Recherche d'acide nucléique;Humain;FLU;Influenza - Sous-typage;N/A;Catégorie B;
114;Investigation d'éclosion bactérienne (autre que S.aureus, C.difficile, Legionella, entéropathogène) (EGCP, FTIR);81099;Investigation d'éclosion bactérienne (autre que S.aureus, C.difficile, Legionella, entéropathogène) (EGCP, FTIR);;Éclosion;Prière de contacter le responsable d'activité au LSPQ pour un état de la situation.;Bactériologie;15 à 30 jours ouvrables;Souche - Culture;TAAN - séquençage et/ou identification conventionnelle (tests biochimiques), typage moléculaire par EGCP;Identification;Humain;ID;1-Routine;Justification requise.;Catégorie B;
115;Legionella spp.: détection (TAAN) sur spécimen primaire;81080;Legionella spp.  détection (TAAN) sur spécimen primaire;;Légionellose, maladie du légionnaire;Recherche de l'antigène urinaire de Legionella pneumophila sg1 dans l'urine non disponible. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 10 jours ouvrables;Lavage  bronchoalvéolaire ou expectoration congelés à -70°C et envoyés sur glace sèche, eau réfrigérée (2 à 8 °C);TAAN, Isolement sur milieux de culture;Identification;Humain;LEGI;5-Legionella;"Envoi au LNM pour espèces autres que L. pneumophila  et pour sérogroupes autres que 1 pour L. pneumophila.
Recherche de l'antigène urinaire de Legionella pneumophila sg1 dans l'urine non disponible. ";Catégorie B;
116;Legionella spp.: identification (TAAN, spectrométrie de masse - MALDI-TOF, sérogroupage) sur colonie;81081;Legionella spp. identification (TAAN, spectrométrie de masse - MALDI-TOF, sérogroupage) sur colonie;;Légionellose, maladie du légionnaire;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 10 jours ouvrables;Souche - Culture;Isolement sur milieux de culture, TAAN-séquençage, MALDI-TOF, sérogroupage;Identification;Humain;LEGI;5-Legionella;Envoi au LNM pour espèces autres que L. pneumophila et pour sérogroupes autres que 1 pour L. pneumophila. ;Catégorie B;
117;Legionella spp.: investigation d'éclosion;81082;Legionella spp.  investigation d'éclosion;;Légionellose, maladie du légionnaire, éclosion;Prière de contacter le responsable d'activité au LSPQ pour un état de la situation. IMPORTANT:  Bien identifier la source du prélèvement.;Bactériologie;15 à 30 jours ouvrables;Souche - Culture;SBT, EGCP;Investigation d'éclosion;Humain;LEGI;5-Legionella;N/A;Catégorie B;
119;Leishmania spp.: détection (anticorps);86070;Leishmania spp.  détection (anticorps);;Leishmania, L. donovani, L. tropica, L. braziliensis, Leishmaniose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Test d'agglutination directe;Leishmaniose - Détection d'anticorps;Humain;LEIS;Leishmaniose;Envoi au CNRP;Catégorie B;
120;Leishmania spp.: détection (TAAN);86071;Leishmania spp.  détection (TAAN);;Leishmania, L. donovani, L. tropica, L. braziliensis, Leishmaniose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sang total EDTA (4 ml), Biopsie (0,5 g), grattage de lésion (variable).  DOIT être entreposé et envoyé à température pièce.;Recherche d'acides nucléiques;Leishmaniose - Recherche d'acides nucléiques;Humain;LEIP;Leishmaniose PCR;Envoi au CNRP;Catégorie B;
121;Leptospira spp.: détection (anticorps);82026;Leptospira spp.  détection (anticorps);;Leptospirose sérologie;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21 jours / 30 jours si MAT) + 6 jours ouvrables;Sérum (0,5 ml) Concervés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA, microagglutination (MAT) si EIA positif;Leptospira - Détection d'anticorps;Humain;LEPT;Leptospira IgM;Envoi au LNM.;Catégorie B;
122;Leptospira spp.: détection (TAAN);82027;Leptospira spp.  détection (TAAN);;Leptospirose PCR;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (21 jours) + 6 jours ouvrables;Sang total EDTA (2-5mL), urine fraîche (5-10 mL), LCR (?0,4mL) Réfrigérer 2-8°C. Ne pas congeler.;Recherche d'acides nucléiques;Leptospira - Recherche d'acides nucléiques;Humain;LEPP;Leptospira spp PCR;Envoi au LNM.;Catégorie B;
123;Levure multirésistante (Candida auris): confirmation (phénotypie) ;87003;Levure multirésistante (Candida auris)  confirmation (phénotypie) ;;Candida auris, c.auris;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycologie;;Souche - culture;Confirmation;Confirmation;Humain;MY;1. Mycologie;N/A;Catégorie B;
124;Levures: antifongigramme (microdilution en bouillon);87002;Levures  antifongigramme (microdilution en bouillon);;"Antifongigramme
Antifungigramme
Amphotéricine B
Anidulafungine
Micafungine
Caspofungine
Itraconazole
Voriconazole
Posaconazole
Fluconazole
5FC, Fluorocytosine, Flucytosine";"Veuillez noter que cette analyse comprend l'identification et l'antifongigramme. Il n'est donc pas nécessaire d'ajouter l'analyse "" Levures: identification (spectrométrie de masse - MALDI-TOF, séquençage) "".
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Mycologie;3 à 7 jours ouvrables;Souche - culture;CMI - microdilution (M27 et M38 CLSI);Antifongigramme;Humain;CMISL;Identification et CMI - Levures;N/A;Catégorie B;
125;Levures: identification (spectrométrie de masse - MALDI-TOF, séquençage);87001;Levures identification (spectrométrie de masse - MALDI-TOF, séquençage);;"Candidose
Candida spp.
Cryptoccocus spp.
Cryptococcus neoformans
Cryptococcus gattii
Cryptococcose
Mycose
Candidémie
Trichosporon
Malassezia
Rhodotorula
Geotrichum
Pichia
Saccharomyces";SVP retirer cette analyse du formulaire si l'analyse " Levures: antifongigramme (microdilution en bouillon)" est demandée. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycologie;3 à 10 jours ouvrables;Souche - Culture;Microscopie,  identification conventionnelle (tests biochimiques), technologie MALDI-TOF, TAAN - séquençage;Identification;Humain;MY;1. Mycologie;N/A;Catégorie B;
126;Levures: investigation d'éclosion (typage);87004;Levures  investigation d'éclosion (typage);;"Candidose
Candida spp.
Cryptoccocus spp.
Cryptococcus neoformans
Cryptococcus gattii
Cryptococcose
Mycose
Candidémie
Trichosporon
Malassezia
Rhodotorula
Geotrichum
Pichia
Saccharomyces
Éclosion";Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycologie;4 à 10 jours ouvrables;Souche - culture;Identification;Identification;Humain;MY;1. Mycologie;N/A;Catégorie B;
127;Listeria monocytogenes: programme de surveillance;81032;Listeria monocytogenes programme de surveillance;;Listéria, listériose, surveillance;Programme de surveillance. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;NA;Souche - Culture;MALDI-TOF, séquençage, typage moléculaire par séquençage du génome entier;Programme de surveillance;Humain;LIST;8-Listeria;Programme de surveillance.;Catégorie B;
128;Loa loa (filiariose): détection (anticorps);86061;Loa loa (filiariose)  détection (anticorps);;Filaria Loa loa (anticorps);Veuillez spécifier l'historique de voyage dans le champ "Pays visité". Le patient doit avoir des anticorps positifs pour la Filariose.;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (0,5 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C. Le patient doit être positif à la Filaria;EIA;Loa Loa - Détection d'anticorps;Humain;LOA;Loa Loa;Envoi au CNRP;Catégorie B;
129;Microsporidies: identification (microscopie);86004;Microsporidies  identification (microscopie);;Microsporidies, Microsporidium;"Pour les patients immunosupprimés seulement. Lorsque la demande est spécifique (microsporidies seulement).
Pour de plus amples renseignements sur la recherche de microsporidies dans les selles, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/microsporidies-recherche).";Parasitologie;4 à 10 jours ouvrables;Selles fixées dans le SAF, entreposé et envoyé à la température ambiante.;Coloration et microscopie;Identification;Humain;MICR;Microsporidies;"Pour les patients immunosupprimés seulement. Lorsque la demande est spécifique (microsporidies seulement).
Pour de plus amples renseignements sur la recherche de microsporidies dans les selles, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/microsporidies-recherche)";Catégorie B;
130;Molluscum contagiosum: détection (TAAN) sur spécimen clinique;83090;Molluscum contagiosum  détection (TAAN) sur spécimen clinique;;molluscum contagiosum, molluscum, poxvirus;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN;Molluscum contagiosum - Recherche d'acides nucléiques;Humain;MOCO;Molluscum contagiosum;Envoi au LNM.;Catégorie B;
131;Mycobactéries non tuberculeuses: antibiogramme (microdilution en bouillon);84011;Mycobactéries non tuberculeuses  antibiogramme (microdilution en bouillon);;CMI, Microdilution;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;"10 à 15 jours ouvrables (croissance rapide)
10 à 21 jours ouvrables (croissance lente)";Souche - Culture;CMI - microdilution;Antibiogramme;Humain;AMB;Antibiogramme MB;Inclut surveillance.;Catégorie B;
132;Mycobactéries non tuberculeuses: identification (délétion, séquençage);84010;Mycobactéries non tuberculeuses  identification (délétion, séquençage);;MNT,MOTT;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;7 à 15 jours ouvrables;Souche - Culture;Analyse de délétions génomiques et TAAN - séquençage du gène rrs;Identification;Humain;MB;1- Mycobactériologie;N/A;Catégorie B;
133;Mycobacterium tuberculosis: antibiogramme (concentration critique) sur culture *GR3*;84006;Mycobacterium tuberculosis  antibiogramme (concentration critique) sur culture *GR3*;GR3;DST, BK, TUBERCULOSE, bacille tuberculeux, TB, Complexe TB, Mycobacterium tuberculosis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;10 à 15 jours ouvrables;Souche - Culture;Méthode fluorométrique;Antibiogramme;Humain;AMB;Antibiogramme MB;Inclut surveillance.;Catégorie A;
134;Mycobacterium tuberculosis: confirmation (délétion, séquençage) sur culture *GR3*;84005;Mycobacterium tuberculosis  confirmation (délétion, séquençage) sur culture *GR3*;GR3;BK, TUBERCULOSE, bacille tuberculeux, TB, Complexe TB, Mycobacterium tuberculosis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;5 à 15 jours ouvrables;Souche - Culture;TAAN - séquençage;Identification;Humain;MB;1- Mycobactériologie;La PCR permet d'identifier les espèces du complexe M. tuberculosis .;Catégorie A;
135;Mycobacterium tuberculosis: détection des gènes de résistance (séquençage);84008;Mycobacterium tuberculosis  détection des gènes de résistance (séquençage);;BK, TUBERCULOSE, bacille tuberculeux, TB, Complexe TB, Mycobacterium tuberculosis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Mycobactériologie;2 à 5 jours ouvrables;Souche - Culture;TAAN - séquençage;TAAN de résistance aux antibiotiques;Humain;MB;1- Mycobactériologie;N/A;Catégorie A;
