Hôpital de Montmagny;350, boul. Taché Ouest, R.R. 1;418 248-0630;14182489791;14182489791;Responsable/Laboratoire;Hôpital de Montmagny;CICA;HOMONTMAG;FAX;|
Hôpital de Notre-Dame-du-Lac;58, rue de l'Église, C.P. 310;1-418-899-0214;14188992898;14188992898;Responsable/Sylvie Deschamps;Hôpital de Notre-Dame-du-Lac;CIBSL;HONDLAC;FAX;|
Hôpital de Papineau;155, rue Maclaren Est;1-819-986-4115;18199864125;18199864125;Responsable/Dr Daniel Tardif;Hôpital de Papineau;CIO;HOPAPIN;FAX;|
Hôpital de Rouyn-Noranda;4, 9e Rue;1-819-764-5131 poste 43108;18197642911;18197642911;Responsable/Annie Hallée;Hôpital de Rouyn-Noranda;CIAT;HORNOR;FAX;|
Hôpital de Sainte-Anne-de-Beaupré;11000, rue des Montagnards;1-418-827-3726 poste 3306;14188273727;14188273727;Responsable/Richard Fortin;Hôpital de Sainte-Anne-de-Beaupré;CICN;HOSABEAU;FAX;|
Hôpital de Sainte-Anne-Des-Monts;50, rue du Belvédère;1-418-763-2261 poste 6010;14187633600;14187633600;Responsable/Dr. Jean-René Fréchette;Hôpital de Sainte-Anne-Des-Monts;CIG;HOSAMONT;FAX;|
Hôpital de Saint-Eustache;520, boul. Arthur-Sauvé;1-450-473-6811;14504734319;14504734319;Responsable/Linda Lalancette;Hôpital de Saint-Eustache;CILAU;HOSEUST;FAX;|
Hôpital de Verdun;4000, boul. Lasalle;514-362-1000 poste 2201;5147657343;5147657343;Responsable/Marie Jolivet;Hôpital de Verdun;CICEIM;HOVERDUN;FAX;|
Hôpital Douglas;6875 boul. Lasalle;5147616131;Courrier postal;;Responsable;Hôpital Douglas;CUSMD;HODOUG;MAIL;|
Hôpital du Centre-de-la-Mauricie;50, 119e Rue;1-819-536-7659;18195367662;18195367662;Responsable/Mme Lucie Pronovost;Hôpital du Centre-de-la-Mauricie;CIMCQ;HOCMAUR;FAX;|
Hôpital du Pontiac;200, rue Argue;1-819 647-2211;18196473267;18196473267;Responsable/Edith Cayouette;Hôpital du Pontiac;CIO;HOPONTI;MAIL;|
Hôpital du Sacré-Coeur de Montréal;5400, boul. Gouin Ouest;514-338-2222 poste 2907;5143383156;5143383156;Responsable/Labo Bio-Multi D-0080;Hôpital du Sacré-Cœur de Montréal;CINIM;HOSCMONT;FAX;|
Hôpital du Sacré-Coeur de Montréal - Banque de sang;5400 boul. Gouin Ouest ;;Courrier postal;;Responsable;Hôpital du Sacré-Cœur de Montréal - Banque de sang;CINIM;HOSCMBS;MAIL;|
Hôpital du Suroît;150, rue Saint-Thomas;1-450-371-9920 poste 2695 ou 2502;14503715275;14503715275;Responsable/Laboratoire de microbiologie;Hôpital du Suroît;CIMO;HOSUROIT;FAX;|
Hôpital et Centre de Réadaptation de Jonquière;2230, rue de l'Hôpital, C.P. 1200;1-418-695-7700 poste 2364;14186957714;14186957714;Responsable/Nathalie Miron;Hôpital et Centre de Réadaptation de Jonquière;CISLSJ;HOCRJONQ;FAX;|
Hôpital et Centre d'Hébergement de Sept-Iles;45, rue du Père-Divet;1-418-962-9761 poste 2527;14189686052;14189686052;Responsable/Pierre R. Laberge;Hôpital et Centre d'Hébergement de Sept-Iles;CICNO;HOCESILES;FAX;|
Hôpital et Centre d'Hébergement d'Youville;1036, rue Belvédère Sud;;Courrier postal;;Responsable;Hôpital et Centre d'Hébergement d'Youville;C3IUGS;CUHCEYOUV;MAIL;|
Hôpital Fleurimont;3001, 12e Avenue Nord;1-819-346-1110 poste 15124;18198206486;18198206486;Responsable/Marie Geoffroy Lab.Microbiologie;Hôpital Fleurimont;CIECHUS;CUHFLEUR;FAX;|
Hôpital Fleury;2180, rue Fleury Est;514-383-5063;5143835059;5143835059;Responsable/Pierre Auger;Hôpital Fleury;CINIM;HOFLEURY;FAX;|
Hôpital général de Montréal;1650, avenue Cedar;514-934-1934 poste 42817;5149348245;5149348245;Responsable/Dr Marcel Behr;Hôpital général de Montréal;CUSM;HOGMG;FAX;|
Hôpital général de Montréal (Ctre Mal. Tropicales);1650 avenue Cedar, Bureau L10-520;514-937-1934;5149348529;5149348529;Responsable/Lyne Cédilotte;Hôpital général de Montréal (Ctre Mal. Tropicales);CUSM;HOGMCMT;FAX;|
Hôpital général du Lakeshore;160, avenue Stillview;514-630-2225 poste 5545;5146305168;5146305168;Responsable/Chantal Roy;Hôpital général du Lakeshore;CIOIM;HOGLAKE;FAX;|
Hôpital général Juif;3755, chemin Côte-Sainte-Catherine;514-340-8294;5143408123;5143408123;Responsable/Dr Andre Dascal;Hôpital général Juif;HOGJSMBD;HOGJUIF;FAX;|
Hôpital Grace Dart;6085 rue Sherbrooke Est;5142569021;Courrier postal;;Responsable;Hôpital Grace Dart;CIOIM;HOGDA;MAIL;|
Hôpital Honoré-Mercier;2750, boul. Laframboise;14507713333 poste 3546;14507713705;14507713705;Responsable/Nadia Beaupré-Chef de service de biologie méd.;Hôpital Honoré-Mercier;CIME;HOHMER;FAX;|
Hôpital Hôtel-Dieu de Gaspé;215, boul. de York Ouest;1-418-368-3301 poste 3225;14183688417;14183688417;Responsable;Hôpital Hôtel-Dieu de Gaspé;CIG;HOHDGASP;FAX;|
Hôpital Hôtel-Dieu Saint-Joseph de Saint-Quentin;21, Canada Street;;Courrier postal;;Responsable/Laboratory;Hôpital Hôtel-Dieu Saint-Joseph de Saint-Quentin;HOHDSJSQ;HOHDSJSQ1;MAIL;|
Hôpital Jean-Talon;1385, rue Jean-Talon Est;514-495-6767 poste 6137 ou 6195;5144956782;5144956782;Responsable/Natalie Kandyba;Hôpital Jean-Talon;CINIM;HOJTALON;FAX;|
Hôpital Jeffery Hale;1250, chemin Sainte-Foy;;Courrier postal;;Responsable;Hôpital Jeffery Hale;HOJHSB;HOJHALE;MAIL;|
Hôpital Juif de réadaptation;3205, Place Alton-Goldbloom;;Courrier postal;;Responsable;Hôpital Juif de réadaptation;CILAV;CRHJR;MAIL;|
Hôpital Laurentien;234, rue Saint-Vincent;1-819-324-4000 poste 4588;18193244065;18193244065;Responsable/France Royer;Hôpital Laurentien;CILAU;HOLAUR;FAX;|
Hôpital Le Royer;635, boul. Joliet;1-418-589-3701 poste 2739 ou 2814;14185891870;14185891870;Responsable/Roger Dubé;Hôpital Le Royer;CICNO;HOLEROYER;FAX;|
Hôpital Maisonneuve-Rosemont;5415, boul. de l'Assomption;514-252-3400 poste 4537;5142517742;5142517742;Responsable/Dr Christian Lavallee;Hôpital Maisonneuve-Rosemont;CIEIM;HOMAISML;FAX;|
Hôpital Marie-Clarac;3530, boul. Gouin Est;514-321-8800 poste 148;5143217632;5143217632;Responsable/Sonya Perron;Hôpital Marie-Clarac;HOMCSCSM;HOMCLARAC;FAX;|
Hôpital Memorial de Wakefield/Wakefiel Mem. Hosp.;101, ch. Burnside;;Courrier postal;;Responsable;Hôpital Memorial de Wakefield/Wakefiel Mem. Hosp.;CIO;HOMWAKEF;MAIL;|
Hôpital neurologique de Montréal;3801 rue University;5149341934;Courrier postal;;Responsable;Hôpital neurologique de Montréal;CUSM;HONEURO;MAIL;|
Hôpital Notre-Dame;1560 rue Sherbrooke E;;5143627904;5143627904;Responsable/Josée Desjardins;Hôpital Notre-Dame;CICSIM;HONDAME;FAX;|
Hôpital Notre-Dame-de-Fatima;1201, 6e Avenue;1-418-6419 poste 7254;14188561783;14188561783;Responsable/Margot Cyr;Hôpital Notre-Dame-de-Fatima;CIBSL;HONDFATI;FAX;|
Hôpital Pierre-Boucher;1333, boul Jacques-Cartier Est;;14504688201;14504688201;Responsable/Mireille Dupré;Hôpital Pierre-Boucher;CIME;HOPB;FAX;|
Hôpital Pierre-Le Gardeur;911, montée des Pionniers;1-450-654-7525 poste 32273;14505858297;14505858297;Responsable/Dr Judith Fafard;Hôpital Pierre-Le Gardeur;CILAN;HOPLEGARD;FAX;|
Hôpital psychiatrique de Malartic;1141, rue Royale, C.P. 800 ;;Courrier postal;;Responsable;Hôpital psychiatrique de Malartic;CIAT;HOPMALAR;MAIL;|
Hôpital régional Chaleur;1750, promenade Sunset Dr.;1-506-544-3515;15065442442;15065442442;Responsable/M. Eric Brisson;Hôpital régional Chaleur;RSVIT;HORCH;FAX;|
Hôpital régional de Campbellton;189, chemin Lily Lake, C.P. 890 ;;Courrier postal;;Responsable;Hôpital régional de Campbellton;HORCAMP;HORCAMP1;MAIL;|
Hôpital régional de Portneuf-CLSC de Saint-Raymond;700, rue Saint-Cyrille;1-418-337-4611 poste 506;14183372390;14183372390;Responsable/Nathalie Pelletier;Hôpital régional de Portneuf-CLSC de Saint-Raymond;CICN;HORPCLSR;FAX;|
Hôpital régional de Rimouski;150, avenue Rouleau;1-418-724-3000;14187248619;14187248619;Responsable/Patrick Dolcé;Hôpital régional de Rimouski;CIBSL;HORRIMOU;FAX;|
Hôpital régional de Saint-Jérôme;290, rue Montigny;1-450-431-8200;14504318206;14504318206;Responsable/France Brisebois;Hôpital régional de Saint-Jérôme;CILAU;HORSJEROM;FAX;|
Hôpital régional d'Edmundston;275, boulevard Hébert;506 739-2200;Courrier postal;15067392231;Responsable;Hôpital régional d'Edmundston;RSVIT;HORED;MAIL;|
Hôpital Richardson;5425, avenue Bessborough;;Courrier postal;;Responsable;Hôpital Richardson;CICOIM;HORICHA;MAIL;|
Hôpital Sainte-Anne;305, boul. des Anciens-Combattants;514-457-3440 poste 3083 Paget:897-5262;5144574587;5144574587;Responsable/Mme Claudia Busreth;Hôpital Sainte-Anne;LDACC;HOSANNE;FAX;|
Hôpital Sainte-Croix;570, rue Hériot;1-819-478-6464 poste 3304;18194786466;18194786466;Responsable/Josée Martel;Hôpital Sainte-Croix;CIMCQ;HOSCROIX;FAX;|
Hôpital Santa Cabrini;5655 rue St-Zotique Est;;5142526592;5142526592;Responsable du laboratoire de Microbiologie;Hôpital Santa Cabrini;CIEIM;HOSCAB;FAX;|
Hôpital, CLSC et Centre d'Hébergement d'Asbestos;475, 3e Avenue;1-819-879-7158 poste 315;18198797433;18198797433;Responsable/Annie Luneau;Hôpital, CLSC et Centre d'Hébergement d'Asbestos;CIECHUS;HOCLCEASBES;FAX;|
Hôpital, CLSC et Centre d'Hébergement de Roberval;450, rue Brassard;1-418-275-0110 poste 2332;14182756974;14182756974;Responsable/S. Gagnon/C. Fortin;Hôpital, CLSC et Centre d'Hébergement de Roberval;CISLSJ;HOCLCEROBER;FAX;|
Hors Québec;1075 chemin Sainte-Foy;4182666723;14182668489;14182668489;Responsable MADO;Hors Québec;MSSS;DSP30;FAX;|
Hôtel de ville de Beaupré;10995, rue des Montagnards;418 827-4541;Courrier postal;;Responsable;Hôtel de ville de Beaupré;VB;UFHVBEA;MAIL;|
Hôtel-Dieu de Lévis;143, rue Wolfe;1-418-835-7121 poste 3701;14188357139;14188357139;Responsable/Line Côté;Hôtel-Dieu de Lévis;CICA;HOHDLEV;FAX;|
Hôtel-Dieu de Lévis (B. Sang);143 rue Wolfe;;Courrier postal;;Responsable;Hôtel-Dieu de Lévis (B. Sang);CICA;HOHDLEVBS;MAIL;|
Hôtel-Dieu de Sherbrooke;580, rue Bowen Sud;;Courrier postal;;Responsable;Hôtel-Dieu de Sherbrooke;CIECHUS;HOHDSHER;MAIL;|
Hôtel-Dieu de Sorel;400, avenue de l'Hôtel-Dieu;1-450-746-6000 poste 7147;14507466067;14507466067;Responsable/Isabelle Pépin;Hôtel-Dieu de Sorel;CIME;HOHDSOREL;FAX;|
Hôtel-Dieu du CHUM;3840, rue Saint-Urbain;514-890-8000 poste 14633;5144127240;5144127240;Responsable/Mme Caroline Ménard;Hôtel-Dieu du CHUM;CUMONT;HOHDM;FAX;|
HQ01 - Service d'enquête et d'EDA;4045 boul. Côte-Vertu;;sen-lspq@hema-quebec.qc.ca;5148321024;Responsable/Ginna Mai Simmons-Coley;HQ01 - Service d'enquête et d'EDA;HQ;HQM01;EMAIL;|
HQ02 - Service d'enquête et d'ETA;France Bernier;;sen-lspq@hema-quebec.qc.ca;5148321024;Responsable/Ginna-Mai Simmons Coley;HQ02 - Service d'enquête et d'ETA;HQ;HQQ02;EMAIL;|
HQ03 - Analyses règlementaires;4045 boul. Côte-Vertu;;techresponsable.resultatexterne@hema-quebec.qc.ca;;Responsable;HQ03 - Analyses règlementaires;HQ;HQM03;EMAIL;|
HQ04 - Service de qualification des produits;Service de qualification des produits ;418 780-4362 ext.6240;techresponsable.resultatexterne@hema-quebec.qc.ca;;Responsable;HQ04 - Service de qualification des produits;HQ;HQQ04;EMAIL;|
HQ05 - Service des analyses règlementaires;Service des analyses règlementaires ;;techresponsable.resultatexterne@hema-quebec.qc.ca;;Responsable;HQ05 - Service des analyses règlementaires;HQ;HQM05;EMAIL;|
HQ06 - Service du contrôle de qualité a/s Annie Jacques;1070 av. des sciences-de-la-vie;;controle.qualite.quebec@hema-quebec.qc.ca;;Responsable/Annie Jacques;HQ06 - Service du contrôle de qualité a/s Annie Jacques;HQ;HQQ06;EMAIL;|
HQ07 - Tissus humains a/s Annie Jacques;1070 av. des Sciences-de-la-vie;;controle.qualite.quebec@hema-quebec.qc.ca;;Responsable/Annie Jacques;HQ07 - Tissus humains a/s Annie Jacques;HQ;HQQ07;EMAIL;|
HQ09 - Laboratoire de référence et cellules souches;Laboratoire de référence et cellules souches ;;Secretaires.LRCS@hema-quebec.qc.ca;;Responsable;HQ09 - Laboratoire de référence et cellules souches;HQ;HQM09;EMAIL;|
HQ11 - Banque publique de lait maternel;Manon Landry -Direction des opérations et du service à la clientèle;514 832-5000 # 6313;techresponsable.resultatexterne@hema-quebec.qc.ca;;Responsable;HQ11 - Banque publique de lait maternel;HQ;HQM11;EMAIL;|
Hydro-Québec;75, boul. René-Lévesque Ouest, 7e étage;;Courrier postal;;Responsable;Hydro-Québec;HYDROQ;LPHQUE;MAIL;|
ID Biomedical corporation of Quebec;d.b.a. GSK Vaccines;418-650-0010;Courrier postal;;Responsable;ID Biomedical corporation of Quebec;LPIDBCORPQ;LPIDBCQ;MAIL;|
Innogenetics Inc.;2580 Westside Parkway, Suite 400;;Courrier postal;;Responsable/Laboratory;Innogenetics Inc.;II;II1;MAIL;|
Inst. Univ. de cardiologie et de pneumologie de Québec;2725, chemin Sainte-Foy;1-418-656-8711;14186564542;14186564542;Responsable/Dre Sylvie Trottier;Inst. Univ. de cardiologie et de pneumologie de Québec;CUCPQ;CUCPQ1;FAX;|
Institut Armand-Frappier Laval;531, boul. des Prairies;;Courrier postal;;Responsable;Institut Armand-Frappier Laval;INRS;LPIAF;MAIL;|
Institut Armand-Frappier Pointe-Claire;245, boul. Hymus;;Courrier postal;;Responsable;Institut Armand-Frappier Pointe-Claire;INRS;LPIAFINRS;MAIL;|
Institut Canadien-Polonais du Bien-Être;5655, rue Bélanger;;Courrier postal;;Responsable;Institut Canadien-Polonais du Bien-Être;CIEIM;LDICPOLON;MAIL;|
Institut de Cardiologie de Montréal;5000, rue Bélanger;514-376-3330;5145932577;5145932577;Responsable/Pierre Auger;Institut de Cardiologie de Montréal;HOICM;HOICMONT;FAX;|
Institut de Laser Dermatologique de Montréal;175, avenue Stillview;;Courrier postal;;Responsable;Institut de Laser Dermatologique de Montréal;ILDM;ILDM1;MAIL;|
Institut de recherches cliniques de Montréal;110, avenue des Pins Ouest;;5149875799;5149875799;Responsable/Marcel Leclerc;Institut de recherches cliniques de Montréal;CUMONT;CUIRCM1;FAX;|
Institut Maurice-Lamontagne;Pêches et Océans Canada;418 775-0500;Courrier postal;418 775-0730;Responsable;Institut Maurice-Lamontagne;POC;POCIML;MAIL;|
Institut universitaire en santé mentale de Montréal;7401, rue Hochelaga, Pavillon Bourget, 5e étage;514-251-4000;5142514055;5142514055;Responsable/Manon Hurteau;Institut universitaire en santé mentale de Montréal;CIEIM;HOSPEMON;FAX;|
Institution;Adresse;Téléphone du contact;Rapport envoyé à:;Fax du contact;Nom du contact;Compagnie;Organisation Parent;ID Soumissionnaire;Type de Livraison;
inVentiv Health Clinique inc.;2500, rue Einstein;;Courrier postal;;Responsable;inVentiv Health Clinique inc.;LPIHC;LPIHC1;MAIL;|
Joana Biomedical ltée;50, boul. Taschereau, bureau 125;1-450-619-414;14506191488;14506191488;Responsable/Dre Elena Haidet;Joana Biomedical ltée;LPJBIO;LPJBIO1;FAX;|
Jubilant HollisterStier;16751, route Trans-Canada;514-694-8220;5146307010;5146307010;Responsable/Julie Riviere;Jubilant HollisterStier;LPJHOLL;LPJHOLL1;FAX;|
KLOX technologies inc.;275, boulevard Armand-Frappier;;Courrier postal;;Responsable;KLOX technologies inc.;LPKTECH;LPKTECH1;MAIL;|
La Cité médicale Montréal;3500 Maisonneuve Blvd Ouest, Tour #2;514-788-6484;5147881983;5147881983;Responsable / Dr Daher Samer;La Cité médicale Montréal;CMCITEM;CMCITEM1;FAX;|
La Maison Mère des Soeurs de Ste-Anne;1950 rue Provost;514-637-3783 poste 424;5146370048;5146370048;Responsable / Chantal Lemay;La Maison Mère des Soeurs de Ste-Anne;CEMMSSTAN;CEMMSSA;FAX;|
Lab. de rech. sur les arthropodes hématophages;Lab rech. sur arthropodes hématophages;819 376-5053;Courrier postal;819 376-5084;Responsable;Lab. de rech. sur les arthropodes hématophages;UQTR;UQTRLRARTH;MAIL;|
Laboratoire Ashraf A. Ismail;21111 Lakeshore Road;514-398-7991;ashraf.ismail@mcgill.ca;5143987977;Responsable/Ashraf A. Ismail;Laboratoire Ashraf A. Ismail;LPASHRAF;LPASHRAF1;EMAIL;|
Laboratoire Bio-Médic inc. (Montréal);3576, avenue du Parc, suite 5315;;14187803031;14187803031;Responsable/Melanie Lessard;Laboratoire Bio-Médic inc. (Montréal);LBMEDIC;LPBMM;FAX;|
Laboratoire Bio-Médic inc. (Québec);4535, boul. Wilfrid-Hamel, bureau 140;1-418-780-3322 poste 24;14187803031;14187803031;Responsable/Mélanie Lessard;Laboratoire Bio-Médic inc. (Québec);LBMEDIC;LPBMQ;FAX;|
Laboratoire d'analyses biomédicales, UQTR;3351, boul. des Forges, C.P. 500;;Courrier postal;;Responsable;Laboratoire d'analyses biomédicales, UQTR;LPBUQTR;LPBUQTR1;MAIL;|
Laboratoire Dynacare ( Dobrin);4800 rue Dobrin;5144862299;5146871562;5146871562;Responsable/Eva Kiriakidis;Laboratoire Dynacare ( Dobrin);LDYNDOB;LDYNDOB1;FAX;|
Laboratoire médical Biron inc.;4105-F, boul. Matte;514 866-5005;14506196164;14506196164;Responsable/Raymond Lepage;Laboratoire médical Biron inc.;LMBIR;LMBIRON;FAX;|
Laboratoire médical FERTILYS (PRENAGEN);1950 rue Maurice-Gauvin;4509349146;Courrier postal;;Responsable;Laboratoire médical FERTILYS (PRENAGEN);LPFERT;LPFERT1;MAIL;|
Laboratoire médical Lapointe;2100, avenue Marlowe;;Courrier postal;;Responsable;Laboratoire médical Lapointe;LPMLAPO;LPMLAPO1;MAIL;|
Laboratoire médical Plexo;6100, avenue du Boisé;514-739-5646 poste 9346;5147395395;5147395395;Responsable/Mme Nadia El Ayachi;Laboratoire médical Plexo;LPMPLEX;LPMPLEX1;FAX;|
Laboratoires BNK Canada Inc.;500, boulevard Cartier Ouest;1-450-688-4432;14506887566;14506887566;Responsable/Gilles Brisson;Laboratoires BNK Canada Inc.;LPBNK;LPBNK1;FAX;|
Laboratoires Choisy Ltée;390, boul. Saint-Laurent Est, C.P. 6;;Courrier postal;;Responsable;Laboratoires Choisy Ltée;LPCHOI;LPCHOI1;MAIL;|
Laboratoires d'analyses S.M. inc.;2350, chemin du Lac;;Courrier postal;;Responsable;Laboratoires d'analyses S.M. inc.;LPASM;LPASM1;MAIL;|
Laboratoires Médic Express inc.;518, rue Notre-Dame;;Courrier postal;;Responsable;Laboratoires Médic Express inc.;LPMEXP;LPMEXP1;MAIL;|
Laboratoires médicaux CDL inc.;5990, chemin de la Côte-des-Neiges;514-344-8022 poste 226;5149072037;5149072037;Responsable/Andrew Weigensberg;Laboratoires médicaux CDL inc.;LMCDL;LPCDLCDN;FAX;|
Laboratoires nationaux VIH et rétrovirologie;100, promenade Églantine;;Courrier postal;;Responsable;Laboratoires nationaux VIH et rétrovirologie;ASPC;ASPCVIH;MAIL;|
Laboratoires Neopharm;865, boul. Michèle-Bohec;;Courrier postal;;Responsable;Laboratoires Neopharm;LPNEO;LPNEO1;MAIL;|
Laboratory Centre for Disease Control;1015 Arlington Street . Rm A1010;204 789-6070;Courrier postal;;Responsable;Laboratory Centre for Disease Control;CSCSHA;CSCSHALCDC;MAIL;|
Le Groupe Bénévole Sauvetage Canada Rescue;1791, rue Principale;;Courrier postal;;Responsable;Le Groupe Bénévole Sauvetage Canada Rescue;GBSAUV;GBSAUV1;MAIL;|
Les Laboratoires Aeterna inc;1405, boul. du Parc-Technologique;;Courrier postal;;Responsable;Les Laboratoires Aeterna inc;LPAET;LPAET1;MAIL;|
Les Laboratoires Quélab inc.;2331, rue Dandurand;;Courrier postal;;Responsable;Les Laboratoires Quélab inc.;LPQUEL;LPQUEL1;MAIL;|
Les Plastiques Bellevue inc.;772, avenue Lajoie;;Courrier postal;;Responsable;Les Plastiques Bellevue inc.;LPPBEL;LPPBEL1;MAIL;|
L'Hôpital Chinois de Montréal (1963);189, avenue Viger Est;;Courrier postal;;Responsable;L'Hôpital Chinois de Montréal (1963);HOCM;HOCMONT;MAIL;|
Maclinique Médicale Lebourgneuf;725 Boul Lebourgneuf, local 220;14186261313;14189489267;14189489267;Responsable;Maclinique Médicale Lebourgneuf;CMLEBO;CMLEBO1;FAX;|
Magistral Biotech inc.;1060, boul. Michèle Bohec;;Courrier postal;;Responsable;Magistral Biotech inc.;LPMBIO;LPMBIO1;MAIL;|
Maxxam Analytique inc.;889, montée de Liesse;;Courrier postal;;Responsable;Maxxam Analytique inc.;LPMANA;LPMANA1;MAIL;|
Médi-Centre Des Sources (Bureau Dr. Roman Gut);4465, boul Des Sources;5146847440;Courrier postal;;Responsable;Médi-Centre Des Sources (Bureau Dr. Roman Gut);CMBDRG;CMBDRG1;MAIL;|
Médicentre Ste-Angélique;1811, chemin Sainte-Angélique;4504247030;Courrier postal;;Responsable;Médicentre Ste-Angélique;CMSANG;CMSANG1;MAIL;|
Microbiological Laboratory;5845, chemin de la Côte-des-Neiges;;Courrier postal;;Responsable;Microbiological Laboratory;LPMLAB;LPMLAB1;MAIL;|
Morgue de Québec;1685, boul. Wilfrid-Hamel ;;Courrier postal;;Responsable;Morgue de Québec;MSPQ;MORQ;MAIL;|
Mount Sinai Hospital;600 University Avenue, Room 1487;416 586-4435;Courrier postal;416 586-8746;Responsable;Mount Sinai Hospital;MSH;HOMSINA;MAIL;|
NASCI-biologie médicale inc.;794, rue Fréchette, suite 101;;5143161512;5143161512;Responsable/Lyne Massicotte;NASCI-biologie médicale inc.;LPNASC;LPNASC1;FAX;|
Nat. Lab. for Enteric Pathogens, Nat. Microb. Lab.;1015 Arlington Street;204 789-6014;Courrier postal;;Responsable;Nat. Lab. for Enteric Pathogens, Nat. Microb. Lab.;CSCSHA;CSCSHALNEP;MAIL;|
Newfoundland & Labrador Public Health Laboratory;100 Forest Road, suite 1;709 777-6583;Courrier postal;17097776362;Responsable;Newfoundland & Labrador Public Health Laboratory;NLPHN;NLPHL1;MAIL;|
North York General Hospital;4001 Leslie Street;;Courrier postal;;Responsable/Maternal Newborn Program;North York General Hospital;HOGNYORK;HOGNYORK1;MAIL;|
NY State Dept. of Health, Wadsworth Center;120 New Scotland Ave. PO BOX 22002;518 474-4177;Courrier postal;15184867971;Responsable;NY State Dept. of Health, Wadsworth Center;NYSDH;NYSDHWC;MAIL;|
Omniclinique Outaouais;28 Boul. Mont bleu;1-819-777-2111;18197716890;18197716890;Responsable;Omniclinique Outaouais;CMOMNIOUT;CMOMNIOUT1;FAX;|
Ontario Agency for Health Protection and Promotion;81 Resources Road;416 235-5723;Courrier postal;;Responsable;Ontario Agency for Health Protection and Promotion;MSO;OAHPP;MAIL;|
Palo Alto Medical Foundation Toxoplasma Serology Laboratory;795 El Camino Real;650 853-4828;Courrier postal;650 614-3292;Responsable;Palo Alto Medical Foundation Toxoplasma Serology Laboratory;PAMFTSL;PAMFTSL1;MAIL;|
Pavillon Edouard-Asselin;264, boul. René-lévesque;5148908000;Courrier postal;;Responsable;Pavillon Edouard-Asselin;CUMONT;HOPEASS;MAIL;|
Pavillon Hôtel-Dieu;11, côte du Palais;1-418-691-5151 poste 15919;14186925768;14186925768;Responsable/Louise Deschênes;Pavillon Hôtel-Dieu;CUQUL;CUPHDG;FAX;|
Pavillon Sainte-Famille;22, rue Notre-Dame Nord;1-819-622-2773 poste 4428;18196292478;18196292478;Responsable/Mme Jeanne St-Pierre;Pavillon Sainte-Famille;CIAT;HOPSFAM;FAX;|
Pavillon Saint-François-D'Assise;10, rue de l'Espinay;1-418-525-4444 poste 53200;14185254327;14185254327;Responsable/Dr Pierre Hivon;Pavillon Saint-François-D'Assise;CUQUL;HOPSFA;FAX;|
Pfizer Canada Inc;17300, route Trans-Canada;;Courrier postal;;Responsable/Groupe santé animal;Pfizer Canada Inc;LPPFIZ;LPPFIZ1;MAIL;|
PhageTech inc.;7170, Frederick Banting, 2e étage;;Courrier postal;;Responsable;PhageTech inc.;LPPTECH;LPPTECH1;MAIL;|
Pharmacie Clinique Santé Minh Châu;6655, chemin de la Côte-des-Neiges;;Courrier postal;;Responsable;Pharmacie Clinique Santé Minh Châu;PCSMC;PCSMC1;MAIL;|
Pharmascience inc.;6625, rue Abrams;;Courrier postal;;Responsable;Pharmascience inc.;LPPHA;LPPHA1;MAIL;|
Pharmetics inc;865A, boul. Michèle-Bohec;1-450-433-8584;Courrier postal;;Responsable;Pharmetics inc;LPPHAR;LPPHAR1;MAIL;|
Point de Service de Témiscaming-et-Kipawa;180, rue Anvik, C.P. 760;1-819-627-3385  poste 1241;18196279259;18196279259;Responsable/Brenda Lagacé;Point de Service de Témiscaming-et-Kipawa;CIAT;PSTKIPAW;FAX;|
Polyclinique de l'Ancienne-Lorette;1413 Notre-Dame;14188722012;Courrier postal;;Responsable;Polyclinique de l'Ancienne-Lorette;CMALOR;CMALOR1;MAIL;|
Polyclinique Médicale de Buckingham;147 rue Joseph;819-986-1034;Courrier postal;;Responsable;Polyclinique Médicale de Buckingham;CMPMBUCK;CMPMBUCK1;MAIL;|
Polyclinique médicale de la Concorde;300, boul. Concorde Est;450 667-5310;Courrier postal;;Responsable;Polyclinique médicale de la Concorde;GMFCON;GMFCON1;MAIL;|
Polyclinique Rosemont;3377, boul. Rosemont;5143767702;Courrier postal;;Responsable;Polyclinique Rosemont;CMROS;CMROS1;MAIL;|
Polyclinique Saint-Eustache;75, rue Grignon;;Courrier postal;;Responsable;Polyclinique Saint-Eustache;GMFSEUS;GMFSEUS1;MAIL;|
Poste de soins infirmiers Matimekosh & du Lac John;224, Denault, C.P. 549;14185852667;Courrier postal;;Responsable;Poste de soins infirmiers Matimekosh & du Lac John;COIMLJ;PSIM;MAIL;|
PROCREA Cliniques;1361, avenue Beaumont;;Courrier postal;;Responsable;PROCREA Cliniques;LPPROC;LPPROC1;MAIL;|
Provincial Laboratory for Northern Alberta;8440 - 112th Street, NW Room 1B3.26;;Courrier postal;;Responsable/University of Alberta Hospital-Laboratory;Provincial Laboratory for Northern Alberta;LPNA;UAH;MAIL;|
Provincial Laboratory for Northern Alberta Microbacteriology;WMK Health Science Ctr  Microbacteriology Rm 1B3.18;;Courrier postal;;Responsable/Micro lab;Provincial Laboratory for Northern Alberta Microbacteriology;LPNA;WMKHSM;MAIL;|
